Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Chapter-1: Units and Measurements|Need for measurement|Empty|||1
Chapter-1: Units and Measurements|Units of measurement|Empty|||2
Chapter-1: Units and Measurements|Systems of units|Empty|||3
Chapter-1: Units and Measurements|Sl units, fundamental and derived units|Empty|||4
Chapter-1: Units and Measurements|Significant figures|Empty|||5
Chapter-1: Units and Measurements|Determining the uncertainty in result|Empty|||6
Chapter-1: Units and Measurements|Dimensions of physical quantities|Empty|||7
Chapter-1: Units and Measurements|Dimensional analysis and its applications|Empty|||8
Chapter-2: Motion in a Straight Line|Frame of reference|Empty|||1
Chapter-2: Motion in a Straight Line|Motion in a straight line|Empty|||2
Chapter-2: Motion in a Straight Line|Elementary concepts of differentiation and integration for describing motion|Empty|||3
Chapter-2: Motion in a Straight Line|Uniform and non-uniform motion|Empty|||4
Chapter-2: Motion in a Straight Line|Average speed and average velocity and instantaneous velocity|Empty|||5
Chapter-2: Motion in a Straight Line|Uniformly accelerated motion|Empty|||6
Chapter-2: Motion in a Straight Line|Velocity time and position-time graphs|Empty|||7
Chapter-2: Motion in a Straight Line|Relations for uniformly accelerated motion (graphical and calculus treatment)|Empty|||8
Chapter-3: Motion in a Plane|Scalar and vector quantities|Empty|||1
Chapter-3: Motion in a Plane|Position and displacement vectors|Empty|||2
Chapter-3: Motion in a Plane|General vectors and their notations|Empty|||3
Chapter-3: Motion in a Plane|Equality of vectors|Empty|||4
Chapter-3: Motion in a Plane|Multiplication of vectors by a real number|Empty|||5
Chapter-3: Motion in a Plane|Addition and subtraction of vectors|Empty|||6
Chapter-3: Motion in a Plane|Unit vector|Empty|||7
Chapter-3: Motion in a Plane|Resolution of a vector in a plane, rectangular components|Empty|||8
Chapter-3: Motion in a Plane|Scalar and Vector product of vectors|Empty|||9
Chapter-3: Motion in a Plane|Motion in a plane|Empty|||10
Chapter-3: Motion in a Plane|Cases of uniform velocity and uniform acceleration|Empty|||11
Chapter-3: Motion in a Plane|Projectile motion|Empty|||12
Chapter-3: Motion in a Plane|Uniform circular motion|Empty|||13
Chapter-4: Laws of Motion|Intuitive concept of force|Empty|||1
Chapter-4: Laws of Motion|Inertia|Empty|||2
Chapter-4: Laws of Motion|Newton's first law of motion|Empty|||3
Chapter-4: Laws of Motion|Momentum and Newton's second law of motion|Empty|||4
Chapter-4: Laws of Motion|Impulse|Empty|||5
Chapter-4: Laws of Motion|Newton's third law of motion|Empty|||6
Chapter-4: Laws of Motion|Law of conservation of linear momentum and its applications|Empty|||7
Chapter-4: Laws of Motion|Equilibrium of concurrent forces|Empty|||8
Chapter-4: Laws of Motion|Static and kinetic friction|Empty|||9
Chapter-4: Laws of Motion|Laws of friction|Empty|||10
Chapter-4: Laws of Motion|Rolling friction|Empty|||11
Chapter-4: Laws of Motion|Lubrication|Empty|||12
Chapter-4: Laws of Motion|Dynamics of uniform circular motion: Centripetal force|Empty|||13
Chapter-4: Laws of Motion|Examples of circular motion (vehicle on a level circular road, vehicle on a banked road)|Empty|||14
Chapter-5: Work, Energy and Power|Work done by a constant force and a variable force|Empty|||1
Chapter-5: Work, Energy and Power|Kinetic energy|Empty|||2
Chapter-5: Work, Energy and Power|Work-energy theorem|Empty|||3
Chapter-5: Work, Energy and Power|Power|Empty|||4
Chapter-5: Work, Energy and Power|Notion of potential energy|Empty|||5
Chapter-5: Work, Energy and Power|Potential energy of a spring|Empty|||6
Chapter-5: Work, Energy and Power|Conservative forces|Empty|||7
Chapter-5: Work, Energy and Power|Non-conservative forces|Empty|||8
Chapter-5: Work, Energy and Power|Motion in a vertical circle|Empty|||9
Chapter-5: Work, Energy and Power|Elastic and inelastic collisions in one and two dimensions|Empty|||10
Chapter-6: System of Particles and Rotational Motion|Centre of mass of a two-particle system|Empty|||1
Chapter-6: System of Particles and Rotational Motion|Momentum conservation and Centre of mass motion|Empty|||2
Chapter-6: System of Particles and Rotational Motion|Centre of mass of a rigid body|Empty|||3
Chapter-6: System of Particles and Rotational Motion|Centre of mass of a uniform rod|Empty|||4
Chapter-6: System of Particles and Rotational Motion|Moment of a force|Empty|||5
Chapter-6: System of Particles and Rotational Motion|Torque|Empty|||6
Chapter-6: System of Particles and Rotational Motion|Angular momentum|Empty|||7
Chapter-6: System of Particles and Rotational Motion|Law of conservation of angular momentum and its applications|Empty|||8
Chapter-6: System of Particles and Rotational Motion|Equilibrium of rigid bodies|Empty|||9
Chapter-6: System of Particles and Rotational Motion|Rigid body rotation and equations of rotational motion|Empty|||10
Chapter-6: System of Particles and Rotational Motion|Comparison of linear and rotational motions|Empty|||11
Chapter-6: System of Particles and Rotational Motion|Moment of inertia|Empty|||12
Chapter-6: System of Particles and Rotational Motion|Radius of gyration|Empty|||13
Chapter-6: System of Particles and Rotational Motion|Values of moments of inertia for simple geometrical objects (no derivation)|Empty|||14
Chapter-7: Gravitation|Kepler's laws of planetary motion|Empty|||1
Chapter-7: Gravitation|Universal law of gravitation|Empty|||2
Chapter-7: Gravitation|Acceleration due to gravity and its variation with altitude and depth|Empty|||3
Chapter-7: Gravitation|Gravitational potential energy and gravitational potential|Empty|||4
Chapter-7: Gravitation|Escape speed|Empty|||5
Chapter-7: Gravitation|Orbital velocity of a satellite|Empty|||6
Chapter-7: Gravitation|Energy of an orbiting satellite|Empty|||7
Chapter-8: Mechanical Properties of Solids|Elasticity|Empty|||1
Chapter-8: Mechanical Properties of Solids|Stress-strain relationship|Empty|||2
Chapter-8: Mechanical Properties of Solids|Hooke's law|Empty|||3
Chapter-8: Mechanical Properties of Solids|Young's modulus|Empty|||4
Chapter-8: Mechanical Properties of Solids|Bulk modulus|Empty|||5
Chapter-8: Mechanical Properties of Solids|Shear modulus of rigidity (qualitative idea only)|Empty|||6
Chapter-8: Mechanical Properties of Solids|Poisson's ratio|Empty|||7
Chapter-8: Mechanical Properties of Solids|Elastic energy|Empty|||8
Chapter-8: Mechanical Properties of Solids|Application of elastic behavior of materials (qualitative idea only)|Empty|||9
Chapter-9: Mechanical Properties of Fluids|Pressure due to a fluid column|Empty|||1
Chapter-9: Mechanical Properties of Fluids|Pascal's law and its applications (hydraulic lift and hydraulic brakes)|Empty|||2
Chapter-9: Mechanical Properties of Fluids|Effect of gravity on fluid pressure|Empty|||3
Chapter-9: Mechanical Properties of Fluids|Viscosity|Empty|||4
Chapter-9: Mechanical Properties of Fluids|Stokes' law|Empty|||5
Chapter-9: Mechanical Properties of Fluids|Terminal velocity|Empty|||6
Chapter-9: Mechanical Properties of Fluids|Streamline and turbulent flow|Empty|||7
Chapter-9: Mechanical Properties of Fluids|Critical velocity|Empty|||8
Chapter-9: Mechanical Properties of Fluids|Bernoulli's theorem and its simple applications (Torricelli's law and Dynamic lift)|Empty|||9
Chapter-9: Mechanical Properties of Fluids|Surface energy and surface tension|Empty|||10
Chapter-9: Mechanical Properties of Fluids|Angle of contact|Empty|||11
Chapter-9: Mechanical Properties of Fluids|Excess of pressure across a curved surface|Empty|||12
Chapter-9: Mechanical Properties of Fluids|Application of surface tension ideas to drops, bubbles and capillary rise|Empty|||13
Chapter-10: Thermal Properties of Matter|Heat|Empty|||1
Chapter-10: Thermal Properties of Matter|Temperature|Empty|||2
Chapter-10: Thermal Properties of Matter|Thermal expansion|Empty|||3
Chapter-10: Thermal Properties of Matter|Thermal expansion of solids, liquids and gases|Empty|||4
Chapter-10: Thermal Properties of Matter|Anomalous expansion of water|Empty|||5
Chapter-10: Thermal Properties of Matter|Specific heat capacity|Empty|||6
Chapter-10: Thermal Properties of Matter|Cp, Cv - calorimetry|Empty|||7
Chapter-10: Thermal Properties of Matter|Change of state - latent heat capacity|Empty|||8
Chapter-10: Thermal Properties of Matter|Heat transfer-conduction, convection and radiation|Empty|||9
Chapter-10: Thermal Properties of Matter|Thermal conductivity|Empty|||10
Chapter-10: Thermal Properties of Matter|Qualitative ideas of Blackbody radiation|Empty|||11
Chapter-10: Thermal Properties of Matter|Wein's displacement Law|Empty|||12
Chapter-10: Thermal Properties of Matter|Stefan's law|Empty|||13
Chapter-11: Thermodynamics|Thermal equilibrium and definition of temperature|Empty|||1
Chapter-11: Thermodynamics|Zeroth law of thermodynamics|Empty|||2
Chapter-11: Thermodynamics|Heat, work and internal energy|Empty|||3
Chapter-11: Thermodynamics|First law of thermodynamics|Empty|||4
Chapter-11: Thermodynamics|Second law of thermodynamics: Thermodynamic state variable and equation of state|Empty|||5
Chapter-11: Thermodynamics|Change of condition of gaseous state - isothermal, adiabatic, reversible, irreversible, and cyclic processes|Empty|||6
Chapter-12: Kinetic Theory|Equation of state of a perfect gas|Empty|||1
Chapter-12: Kinetic Theory|Work done in compressing a gas|Empty|||2
Chapter-12: Kinetic Theory|Kinetic theory of gases assumptions|Empty|||3
Chapter-12: Kinetic Theory|Concept of pressure|Empty|||4
Chapter-12: Kinetic Theory|Kinetic interpretation of temperature|Empty|||5
Chapter-12: Kinetic Theory|rms speed of gas molecules|Empty|||6
Chapter-12: Kinetic Theory|Degrees of freedom|Empty|||7
Chapter-12: Kinetic Theory|Law of equi-partition of energy (statement only) and application to specific heat capacities of gases|Empty|||8
Chapter-12: Kinetic Theory|Concept of mean free path|Empty|||9
Chapter-12: Kinetic Theory|Avogadro's number|Empty|||10
Chapter-13: Oscillations|Periodic motion - time period, frequency|Empty|||1
Chapter-13: Oscillations|Displacement as a function of time|Empty|||2
Chapter-13: Oscillations|Periodic functions and their applications|Empty|||3
Chapter-13: Oscillations|Simple harmonic motion (S.H.M)|Empty|||4
Chapter-13: Oscillations|Uniform circular motion and its equations of motion|Empty|||5
Chapter-13: Oscillations|Phase|Empty|||6
Chapter-13: Oscillations|Oscillations of a loaded spring- restoring force and force constant|Empty|||7
Chapter-13: Oscillations|Energy in S.H.M|Empty|||8
Chapter-13: Oscillations|Kinetic and potential energies|Empty|||9
Chapter-13: Oscillations|Simple pendulum derivation of expression for its time period|Empty|||10
Chapter-14: Waves|Wave motion: Transverse and longitudinal waves|Empty|||1
Chapter-14: Waves|Speed of travelling wave|Empty|||2
Chapter-14: Waves|Displacement relation for a progressive wave|Empty|||3
Chapter-14: Waves|Principle of superposition of waves|Empty|||4
Chapter-14: Waves|Reflection of waves|Empty|||5
Chapter-14: Waves|Standing waves in strings and organ pipes|Empty|||6
Chapter-14: Waves|Fundamental mode and harmonics|Empty|||7
Chapter-14: Waves|Beats|Empty|||8